TimeOfDay;DayOfYear;BaseTemperature;BaseHumidity;ActualTemperature;ActualHumidity;PrecipChange;PrecipIntensity;PrecipTemperature;PrecipDuration;CloudCover;Fogginess;WindSpeed;WindDirection;Raining;Thundering;Snowing;GRPT;GWPT;GAPT;CRPT;CWPT;CAPT;GRTPT;GWTPT;CRTPT;CWTPT;TPBT;TPT;TPET;AvgAge;AvgAgeNonzero;MaxAge;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008459999;0.0003120001;0.05466;0.0002199999;0.0652;0.025442;0.06545;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008359999;0.0003160001;0.054658;0.0002199999;0.06518;0.025444;0.06545199;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000838;0.0003180001;0.05466;0.0002179999;0.06517;0.02544601;0.06549599;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008439999;0.0003260001;0.05467001;0.0002179999;0.065186;0.02544601;0.06589399;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008379999;0.0003340001;0.054678;0.0002179999;0.06520201;0.02544801;0.06592999;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008419998;0.0003360001;0.05468;0.0002179999;0.065168;0.02544801;0.065892;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000844;0.000358;0.081376;0.0002679999;0.06518;0.02544801;0.06583399;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000842;0.0003600001;0.081374;0.0002699998;0.09192;0.03805201;0.08016799;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000838;0.0003640001;0.08137801;0.0002699998;0.08997601;0.03805001;0.0803;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008319999;0.000364;0.081376;0.0002699998;0.08981801;0.03804801;0.08031199;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.00082;0.00036;0.05421599;0.0002099999;0.08979801;0.03804601;0.08005599;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000816;0.000358;0.05421999;0.0002099999;0.062588;0.025354;0.06506199;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008039999;0.000358;0.05421799;0.0002099999;0.062584;0.025356;0.06502599;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008039999;0.000358;0.05421599;0.0002099999;0.062742;0.025354;0.06501199;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008040001;0.000358;0.05421799;0.0002099999;0.062738;0.025352;0.06501199;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000802;0.000356;0.05421999;0.0002099999;0.062752;0.025352;0.06487599;0.005;1.020408;2;
